Gene	SwissProt
ENSG00000237489	Q6ZT52
ENSG00000241125	Q8N7R7
ENSG00000270087	Q96F45
ENSG00000270235	Q8N377
ENSG00000181995	Q8NCQ3
ENSG00000188070	C9JLR9
ENSG00000230724	Q6ZQT7
ENSG00000233220	Q96N53
ENSG00000254468	Q6ZU15
ENSG00000254761	P51841
ENSG00000255193	Q86TE4
ENSG00000255267	A1L4Q6
ENSG00000255651	C9JLR9
ENSG00000257057	A0A1B0GVM6
ENSG00000269038	Q8TAT8
ENSG00000271758	Q7RTZ1
ENSG00000196243	Q96LM1
ENSG00000196668	Q6ZV60
ENSG00000197503	Q96M19
ENSG00000204583	A6NCL2
ENSG00000214043	Q0VFX4
ENSG00000234608	Q8N8E1
ENSG00000271614	Q4KMQ1
ENSG00000215417	Q75NE6
ENSG00000219926	Q6ZSN1
ENSG00000223732	Q9UHK0
ENSG00000225760	Q96CW5
ENSG00000226250	Q6NUI1
ENSG00000231817	Q3LI58
ENSG00000243300	O75386
ENSG00000272299	Q6IFN5
ENSG00000136315	P10153
ENSG00000178107	O00483
ENSG00000186369	Q86TS7
ENSG00000196553	A0A1B0GTZ2
ENSG00000215394	Q14692
ENSG00000225210	A6NLW8
ENSG00000227468	P01854
ENSG00000228294	Q14692
ENSG00000233988	O43184
ENSG00000244306	A6NLW8
ENSG00000253364	P01859
ENSG00000254140	P01854
ENSG00000257931	A2A2Z9
ENSG00000258610	Q7L8A9
ENSG00000258809	Q8IYT3
ENSG00000258882	O95396
ENSG00000259115	O75586
ENSG00000259158	O43506
ENSG00000259230	O00303
ENSG00000259334	Q86U02
ENSG00000225930	Q9UFV3
ENSG00000244952	Q8IZD4
ENSG00000259198	Q9BXJ0
ENSG00000259347	P05204
ENSG00000259410	P84550
ENSG00000259417	P0C2S0
ENSG00000259527	Q96N35
ENSG00000259551	Q6ZS02
ENSG00000259694	Q6ZS02
ENSG00000259702	Q92911
ENSG00000259774	Q6ZS02
ENSG00000260693	H0YL09
ENSG00000261064	H0YL09
ENSG00000261480	Q8WVN8
ENSG00000272639	P47895
ENSG00000179219	Q8N616
ENSG00000180422	Q8N9R0
ENSG00000189149	A6NIL9
ENSG00000196364	A6NIE9
ENSG00000198106	Q8IUI4
ENSG00000224310	Q6ZSR6
ENSG00000234186	Q7Z2V1
ENSG00000260141	O95714
ENSG00000260219	Q6ICB4
ENSG00000260517	Q8N9N5
ENSG00000260550	Q9P1D8
ENSG00000260899	P15735
ENSG00000260958	P22607
ENSG00000261512	Q6P3S6
ENSG00000262756	O60844
ENSG00000263126	Q496H8
ENSG00000267660	P04180
ENSG00000270580	P98161
ENSG00000167117	Q53H64
ENSG00000175061	Q8N1F1
ENSG00000177338	Q8N7U9
ENSG00000185168	Q8N8I6
ENSG00000186594	Q0VDD5
ENSG00000197291	Q8TAE8
ENSG00000205325	Q6ZS49
ENSG00000214546	A8MU10
ENSG00000220161	Q6ZW33
ENSG00000227685	A8MUN3
ENSG00000231421	A8MUN3
ENSG00000237057	A8MUN3
ENSG00000261005	Q14766
ENSG00000262921	P0CF75
ENSG00000263429	A6NJY4
ENSG00000263470	O75916
ENSG00000264486	Q96QE4
ENSG00000265788	P35228
ENSG00000266795	Q5VT28
ENSG00000266885	A8MQB3
ENSG00000266999	Q6ZRG5
ENSG00000267104	Q5M7Z0
ENSG00000267420	O14905
ENSG00000179676	Q7Z4B0
ENSG00000229055	Q6ZT83
ENSG00000264222	A2A2Z9
ENSG00000264265	O75638
ENSG00000264575	Q96FQ7
ENSG00000265091	P62945
ENSG00000265766	P78310
ENSG00000265787	P98187
ENSG00000267722	Q9H5I5
ENSG00000176840	Q8N6C7
ENSG00000180081	Q8WTZ3
ENSG00000182310	W5XKT8
ENSG00000196589	Q8NHZ7
ENSG00000197332	Q6ZTB9
ENSG00000205396	Q96RF0
ENSG00000205786	O15552
ENSG00000213793	Q9NV72
ENSG00000214347	P00568
ENSG00000231412	Q3KPI0
ENSG00000234773	Q15973
ENSG00000266904	Q96RF0
ENSG00000267053	Q8WZ26
ENSG00000267243	Q8NEM2
ENSG00000267581	Q14593
ENSG00000267640	Q8TAF7
ENSG00000267890	Q9BQG1
ENSG00000268362	Q7Z2F6
ENSG00000268912	P52740
ENSG00000269043	Q5JVG8
ENSG00000269051	Q9NV72
ENSG00000269110	Q68DY1
ENSG00000269364	Q1ZZU3
ENSG00000269460	Q9UHV8
ENSG00000269473	Q9UJW8
ENSG00000269483	Q8N883
ENSG00000269720	A0A1B0GVG4
ENSG00000125804	Q5T1J6
ENSG00000196421	Q6ZNR8
ENSG00000198547	Q8NBC4
ENSG00000225490	Q5VSD8
ENSG00000230725	P20265
ENSG00000232388	A0A096LP01
ENSG00000238129	Q9BXX2
ENSG00000184274	P59091
ENSG00000184856	Q8TCZ7
ENSG00000185186	P59037
ENSG00000185433	P58513
ENSG00000186842	Q9NV44
ENSG00000227456	P59036
ENSG00000230366	P59020
ENSG00000233056	M5A8F1
ENSG00000233316	P59022
ENSG00000236384	Q96M42
ENSG00000237232	Q8N0V1
ENSG00000242553	P59020
ENSG00000100181	P56180
ENSG00000178248	Q8N402
ENSG00000189295	A6NC57
ENSG00000197210	Q5BKY6
ENSG00000206140	A6NGB0
ENSG00000206142	A8MUU9
ENSG00000206176	P0C7N4
ENSG00000206195	A6NLW8
ENSG00000215498	A8MUU9
ENSG00000223579	A8MUU9
ENSG00000226741	Q6NUN9
ENSG00000233080	P24311
ENSG00000235704	P0C7N4
ENSG00000237438	Q08AH1
ENSG00000269220	Q8N1L1
ENSG00000273145	Q9NVF7
ENSG00000273244	A6NC57
ENSG00000178947	P0DMW5
ENSG00000196972	P0DMW5
ENSG00000204119	A0A1B0GV22
ENSG00000204272	A0A0U1RRE5
ENSG00000205663	A8K0R7
ENSG00000213468	Q9BUT9
ENSG00000214915	Q9Y5P2
ENSG00000215113	A8MYA2
ENSG00000215115	A8MYA2
ENSG00000215162	Q8N2A0
ENSG00000225396	P0DP71
ENSG00000225470	Q9BTE6
ENSG00000229583	A0A1B0GV22
ENSG00000229702	Q5CZC0
ENSG00000230159	Q5H943
ENSG00000231774	A8MYA2
ENSG00000234449	A8K0R7
ENSG00000234493	Q14938
ENSG00000235244	Q9BTK2
ENSG00000237265	A8MYA2
ENSG00000238106	A8MYA2
ENSG00000259849	P0C5K6
ENSG00000270641	Q96MC2
ENSG00000180910	Q15415
ENSG00000184991	Q9BZ97
ENSG00000224989	Q6J272
ENSG00000226362	Q6J272
ENSG00000228786	Q6ZU15
ENSG00000240450	Q6UVK1
ENSG00000251510	Q96LI6
